kodOrganizacie,nazovOrganizacie,kodNadurovne,kategoria,2015,2016,2017,2018,2019,2020,2021
528595,Bratislava - mestská časť Staré Mesto,800101,DLH,,42.84,0.03,0.0,166.3,3870182.52,3721516.0
529311,Bratislava - mestská časť Podunajské Biskupice,800102,DLH,,,46.6,0.0,13.8,0.0,227824.0
529320,Bratislava - mestská časť Ružinov,800102,DLH,1716160.32,1500580.32,1285000.32,1069420.32,853840.32,9276145.19,15721895.0
529338,Bratislava - mestská časť Vrakuňa,800102,DLH,164855.64,402769.0,978191.1,841838.42,731717.56,0.0,2971518.0
529346,Bratislava - mestská časť Nové Mesto,800103,DLH,,,0.0,0.0,34.0,394337.4,355242.47
529354,Bratislava - mestská časť Rača,800103,DLH,904360.0,768712.0,851200.53,856733.38,1847216.0,1504292.0,2009315.71
529362,Bratislava - mestská časť Vajnory,800103,DLH,800744.77,580903.0,362011.0,704102.33,475267.33,450403.33,364687.33
529371,Bratislava - mestská časť Devínska Nová Ves,800104,DLH,,,0.0,0.0,0.0,0.0,87.85
529389,Bratislava - mestská časť Dúbravka,800104,DLH,,0.4,0.0,990000.0,924001.5,1193870.0,1127870.0
529397,Bratislava - mestská časť Karlova Ves,800104,DLH,241380.0,181020.0,120660.0,504400.7,801200.0,1027520.0,933870.0
529401,Bratislava - mestská časť Devín,800104,DLH,,2845821.28,2839253.8,2839253.8,3537995.04,3526261.04,3119073.28
529419,Bratislava - mestská časť Lamač,800104,DLH,0.0,163075.24,152726.79,272062.56,592335.37,592360.92,582282.73
529427,Bratislava - mestská časť Záhorská Bystrica,800104,DLH,,,278582.7,750000.0,709219.8,705840.0,655840.0
529435,Bratislava - mestská časť Čunovo,800105,DLH,,,0.0,0.0,0.0,13782.0,292099.54
529443,Bratislava - mestská časť Jarovce,800105,DLH,,,0.0,0.0,0.0,0.0,29241.0
529460,Bratislava - mestská časť Petržalka,800105,DLH,5197992.59,5856884.58,6842074.58,6174937.16,5194343.44,4247689.44,5189963.53
529494,Bratislava - mestská časť Rusovce,800105,DLH,182338.83,162120.27,143068.4,126717.2,110366.0,94014.8,77663.6
504556,Malé Leváre,800106,DLH,,,0.0,0.0,403166.0,415416.0,
504629,Plavecké Podhradie,800106,DLH,68686.5,68686.5,68686.5,56686.5,206970.5,189878.5,167786.5
504637,Plavecký Mikuláš,800106,DLH,,,0.0,0.0,0.0,0.0,0.0
504769,Rohožník,800106,DLH,467111.06,431157.06,589269.46,685481.2,550000.0,545144.0,467492.0
504858,Sološnica,800106,DLH,,,0.0,0.0,0.0,0.0,0.0
504874,Studienka,800106,DLH,77418.82,55813.54,34208.3,12605.03,0.0,0.0,0.0
504947,Veľké Leváre,800106,DLH,,,0.0,0.0,0.0,177612.33,177612.33
504980,Závod,800106,DLH,196682.03,160682.03,124943.84,88860.48,52800.65,275354.75,222373.93
507831,Borinka,800106,DLH,,,0.0,0.0,0.0,99581.76,79661.76
507890,Gajary,800106,DLH,112866.97,53884.49,0.0,0.0,0.0,55680.0,0.0
507954,Jablonové,800106,DLH,37232.0,24464.0,11696.0,0.0,128022.99,233365.98,205321.98
507962,Jakubov,800106,DLH,,,0.0,0.0,0.0,0.0,0.0
508012,Kostolište,800106,DLH,5883.77,,0.0,0.0,0.0,0.0,0.0
508021,Kuchyňa,800106,DLH,230282.17,199686.44,168651.1,136984.33,104580.94,105050.67,71121.35
508039,Láb,800106,DLH,24622.64,18622.64,11875.66,0.0,0.0,0.0,0.0
508055,Lozorno,800106,DLH,72000.0,143918.12,106716.08,93514.04,80312.0,867109.96,0.0
508063,Malacky,800106,DLH,2519980.0,0.0,59958.4,0.0,4.11,398567.13,399149.4
508080,Marianka,800106,DLH,,,0.0,0.0,0.0,0.0,0.0
508161,Pernek,800106,DLH,10845.51,4039.61,0.0,0.0,0.0,15795.0,15795.0
508195,Plavecký Štvrtok,800106,DLH,,,0.0,0.0,0.0,46493.0,46493.0
508233,Stupava,800106,DLH,895256.0,1174924.46,1041753.64,907088.42,773164.46,925217.46,2255895.64
508241,Suchohrad,800106,DLH,1996.6,,0.0,0.0,0.0,0.0,0.0
508349,Vysoká pri Morave,800106,DLH,12000.0,,0.0,0.0,0.0,0.0,0.0
508365,Záhorská Ves,800106,DLH,219638.01,208803.57,197969.13,187158.09,176322.29,205465.81,194650.7
508381,Zohor,800106,DLH,,,0.0,0.0,0.0,0.0,0.0
507806,Báhoň,800107,DLH,46797.95,29773.43,12748.91,0.0,0.0,39571.0,39571.0
507849,Budmerice,800107,DLH,814244.32,737970.04,76274.28,0.0,1197481.2,1022330.82,1427495.32
507857,Častá,800107,DLH,84343.57,207795.77,269793.57,229200.0,190800.0,152400.0,114000.0
507873,Doľany,800107,DLH,,,75081.0,58077.0,41073.0,24069.0,7065.0
507881,Dubová,800107,DLH,35285.08,22140.28,8995.48,0.0,0.0,0.0,0.0
507946,Jablonec,800107,DLH,103013.11,142984.53,140203.53,137967.0,342642.05,335000.0,335000.0
507989,Svätý Jur,800107,DLH,,,0.0,0.0,0.0,0.0,0.0
508047,Limbach,800107,DLH,,,0.0,0.0,0.0,0.0,0.0
508101,Modra,800107,DLH,500000.0,0.0,0.0,0.0,0.0,210154.0,210154.0
508179,Pezinok,800107,DLH,226684.8,1711514.25,1469438.68,1224159.13,980467.01,1265210.56,1022659.07
508187,Píla,800107,DLH,12548.0,8048.0,3548.0,0.0,74263.55,0.0,0.0
508225,Slovenský Grob,800107,DLH,,,0.0,245860.73,303645.51,390508.51,357940.51
508250,Šenkvice,800107,DLH,452472.4,39052.8,25663.2,307295.42,265000.0,235000.0,205000.0
508268,Štefanová,800107,DLH,,,0.0,0.0,92064.21,0.0,0.0
508306,Viničné,800107,DLH,124800.0,156093.12,136089.12,178485.12,137681.12,153680.12,112876.12
508314,Vinosady,800107,DLH,,,0.0,0.0,0.0,28435.0,200000.0
508322,Vištuk,800107,DLH,,,0.0,0.0,0.0,27296.0,27296.0
503681,Boldog,800108,DLH,,,0.0,0.0,0.0,0.0,0.0
503797,Hrubá Borša,800108,DLH,93104.0,88888.0,61144.0,33400.0,10352.0,0.0,0.0
503801,Hrubý Šúr,800108,DLH,,18909.63,14187.81,9822.61,5490.61,82580.49,81421.88
503819,Hurbanova Ves,800108,DLH,,,0.0,0.0,0.0,0.0,0.0
503851,Kostolná pri Dunaji,800108,DLH,,,0.0,0.0,0.0,13451.0,13451.0
503894,Kráľová pri Senci,800108,DLH,131506.15,257500.0,260687.86,220938.0,152102.0,771430.0,644090.34
503983,Reca,800108,DLH,,,0.0,0.0,0.0,0.0,35302.5
507814,Bernolákovo,800108,DLH,103680.0,691097.03,536309.03,396305.03,256304.03,116297.03,15.8
507822,Blatné,800108,DLH,47137.71,19633.71,200000.0,319015.0,251899.0,184783.0,117667.0
507865,Čataj,800108,DLH,,,0.0,0.0,0.0,0.0,0.0
507903,Hamuliakovo,800108,DLH,69893.03,54322.31,481417.81,498174.97,600071.99,770810.29,706532.79
507911,Chorvátsky Grob,800108,DLH,,,0.0,6.9,5.9,139958.55,419300.68
507938,Ivanka pri Dunaji,800108,DLH,,1971850.0,1720730.0,1460990.0,1201250.0,1124058.0,872898.0
507997,Kalinkovo,800108,DLH,335007.63,311007.63,279007.63,243007.63,207007.63,171007.63,135007.63
508071,Malinovo,800108,DLH,,300000.0,433017.5,401900.48,370744.5,409579.5,378433.5
508098,Miloslavov,800108,DLH,451259.6,697019.6,603047.6,509075.6,415103.6,412278.6,339822.6
508110,Most pri Bratislave,800108,DLH,188069.0,157169.0,116244.0,66444.0,16644.0,74980.0,74980.0
